broker, client, conn, connack
172.17.0.3, b'subThread-2-uxpapo', 1599737787519, 1599737787561
172.17.0.3, b'subThread-5-tngeos', 1599737787632, 1599737787848
172.17.0.3, b'subThread-3-rgeobk', 1599737787582, 1599737787607
172.17.0.3, b'subThread-7-jnltcf', 1599737787716, 1599737787864
172.17.0.3, b'subThread-9-imklkn', 1599737787893, 1599737788006
172.17.0.3, b'subThread-6-arirzb', 1599737787631, 1599737787950
172.17.0.3, b'subThread-10-kbmyki', 1599737787978, 1599737788871
172.17.0.3, b'subThread-4-bkozgt', 1599737787581, 1599737787813
172.17.0.3, b'subThread-1-elhfwj', 1599737787516, 1599737787561
172.17.0.3, b'subThread-8-wxelcn', 1599737787710, 1599737787881
