broker, client, sent, received, qos
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:02, 12:59:03.652
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:02, 12:59:03.652
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:02, 12:59:03.652
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:02, 12:59:03.652
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:02, 12:59:03.670
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:02, 12:59:03.718
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:02, 12:59:03.718
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:02, 12:59:04.052
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:02, 12:59:04.321
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:02, 12:59:04.321
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:02, 12:59:04.321
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:02, 12:59:04.322
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:02, 12:59:04.322
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:02, 12:59:04.322
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:02, 12:59:04.322
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:02, 12:59:04.322
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:02, 12:59:04.322
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:02, 12:59:04.322
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:02, 12:59:04.322
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:02, 12:59:04.322
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:03, 12:59:05.060
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:03, 12:59:05.424
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:03, 12:59:05.424
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:03, 12:59:05.424
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:03, 12:59:05.679
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:03, 12:59:05.679
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:03, 12:59:05.679
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:03, 12:59:05.679
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:03, 12:59:05.680
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:03, 12:59:05.680
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:04, 12:59:06.539
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:04, 12:59:06.539
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:04, 12:59:06.581
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:04, 12:59:06.581
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:04, 12:59:06.581
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:04, 12:59:06.587
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:04, 12:59:06.646
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:04, 12:59:06.703
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:04, 12:59:06.719
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:04, 12:59:06.720
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:05, 12:59:07.884
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:05, 12:59:07.941
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:05, 12:59:07.941
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:05, 12:59:07.941
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:05, 12:59:08.343
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:05, 12:59:08.372
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:05, 12:59:08.372
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:05, 12:59:08.372
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:05, 12:59:08.373
172.17.0.3, b'subThread-3-fjkkxr', 2020-09-10.12:59:05, 12:59:08.373
