broker, client, sent, received, qos
172.17.0.3, b'subThread-9-aaxgqw', 2020-09-10.13:12:08, 13:12:08.823
172.17.0.3, b'subThread-9-aaxgqw', 2020-09-10.13:12:08, 13:12:08.823
172.17.0.3, b'subThread-9-aaxgqw', 2020-09-10.13:12:08, 13:12:08.911
172.17.0.3, b'subThread-9-aaxgqw', 2020-09-10.13:12:08, 13:12:08.911
172.17.0.3, b'subThread-9-aaxgqw', 2020-09-10.13:12:08, 13:12:08.911
172.17.0.3, b'subThread-9-aaxgqw', 2020-09-10.13:12:08, 13:12:09.488
172.17.0.3, b'subThread-9-aaxgqw', 2020-09-10.13:12:08, 13:12:10.418
172.17.0.3, b'subThread-9-aaxgqw', 2020-09-10.13:12:08, 13:12:10.419
172.17.0.3, b'subThread-9-aaxgqw', 2020-09-10.13:12:08, 13:12:10.538
172.17.0.3, b'subThread-9-aaxgqw', 2020-09-10.13:12:08, 13:12:10.630
172.17.0.3, b'subThread-9-aaxgqw', 2020-09-10.13:12:08, 13:12:11.193
172.17.0.3, b'subThread-9-aaxgqw', 2020-09-10.13:12:08, 13:12:11.222
172.17.0.3, b'subThread-9-aaxgqw', 2020-09-10.13:12:08, 13:12:11.227
172.17.0.3, b'subThread-9-aaxgqw', 2020-09-10.13:12:08, 13:12:11.227
172.17.0.3, b'subThread-9-aaxgqw', 2020-09-10.13:12:08, 13:12:11.227
172.17.0.3, b'subThread-9-aaxgqw', 2020-09-10.13:12:08, 13:12:11.227
172.17.0.3, b'subThread-9-aaxgqw', 2020-09-10.13:12:08, 13:12:11.701
172.17.0.3, b'subThread-9-aaxgqw', 2020-09-10.13:12:08, 13:12:11.701
172.17.0.3, b'subThread-9-aaxgqw', 2020-09-10.13:12:08, 13:12:11.701
172.17.0.3, b'subThread-9-aaxgqw', 2020-09-10.13:12:08, 13:12:11.701
172.17.0.3, b'subThread-9-aaxgqw', 2020-09-10.13:12:10, 13:12:13.038
172.17.0.3, b'subThread-9-aaxgqw', 2020-09-10.13:12:10, 13:12:13.038
172.17.0.3, b'subThread-9-aaxgqw', 2020-09-10.13:12:10, 13:12:13.038
172.17.0.3, b'subThread-9-aaxgqw', 2020-09-10.13:12:10, 13:12:13.063
172.17.0.3, b'subThread-9-aaxgqw', 2020-09-10.13:12:10, 13:12:13.098
172.17.0.3, b'subThread-9-aaxgqw', 2020-09-10.13:12:10, 13:12:13.170
172.17.0.3, b'subThread-9-aaxgqw', 2020-09-10.13:12:10, 13:12:13.217
172.17.0.3, b'subThread-9-aaxgqw', 2020-09-10.13:12:10, 13:12:13.218
172.17.0.3, b'subThread-9-aaxgqw', 2020-09-10.13:12:10, 13:12:13.218
172.17.0.3, b'subThread-9-aaxgqw', 2020-09-10.13:12:10, 13:12:13.229
172.17.0.3, b'subThread-9-aaxgqw', 2020-09-10.13:12:12, 13:12:14.667
172.17.0.3, b'subThread-9-aaxgqw', 2020-09-10.13:12:12, 13:12:14.696
172.17.0.3, b'subThread-9-aaxgqw', 2020-09-10.13:12:12, 13:12:14.713
172.17.0.3, b'subThread-9-aaxgqw', 2020-09-10.13:12:12, 13:12:14.713
172.17.0.3, b'subThread-9-aaxgqw', 2020-09-10.13:12:12, 13:12:14.816
172.17.0.3, b'subThread-9-aaxgqw', 2020-09-10.13:12:12, 13:12:14.840
172.17.0.3, b'subThread-9-aaxgqw', 2020-09-10.13:12:12, 13:12:15.491
172.17.0.3, b'subThread-9-aaxgqw', 2020-09-10.13:12:12, 13:12:15.491
